name,type,description,description_beginner,synonyms,n_linked_studies,atlas_url
Spinal cord injury,Disease,Traumatic CNS injury in which AKT/mTOR-driven angiogenesis and neuronal survival are targets for functional recovery.,"Physical damage to the spinal cord, which the body repairs very poorly. Researchers target the AKT-mTOR pathway here because it controls two things recovery depends on: growing new blood vessels, and whether damaged nerve cells survive at all.",,0,
HIF-1α,Gene/Protein,"Hypoxia-inducible factor 1-alpha, the master transcription factor for metabolic and angiogenic responses to low oxygen, and an mTOR-independent target of rapamycin in aged tissue.",The master switch a cell flips when oxygen runs short. It turns on genes that build new blood vessels and that shift the cell to making energy without oxygen. Rapamycin lowers it partly through a route that does not run through mTOR - one of the clues that the drug does more than block a single kinase.,,0,
Lung transplant,Condition,"Clinical setting in which mTOR inhibitors are used as antiproliferative, calcineurin-sparing immunosuppression, notably against chronic lung allograft dysfunction.","The situation after a donor lung is implanted, where the immune system has to be held back for life. mTOR inhibitors are used because they block rejection without the kidney damage the usual drugs cause, and may slow the gradual scarring that destroys transplanted lungs.",,0,
T cell differentiation,Biological process,Process by which immune T cells commit to effector versus regulatory fates; directly controlled by mTOR complex activity.,How immune T cells decide what kind of cell to become - an attacking (effector) cell or a peacekeeping (regulatory) cell. mTOR activity is one of the switches that helps make this decision.,,1,
eIF4E,Gene/Protein,Cap-binding protein that recruits the ribosome to an mRNA. Held hostage by 4E-BP1 until mTORC1 phosphorylates the latter - the rate-limiting step of cap-dependent translation.,"A protein that grabs onto mRNA and starts the process of building a new protein from it. Normally it's held back by 4E-BP1; mTORC1 releases that hold, which is the key step that turns on protein production.",,4,https://mtor-atlas.org/gene/eif4e/
alpha-synuclein (SNCA),Gene/Protein,Presynaptic protein whose misfolded aggregates form Lewy bodies in Parkinson's disease and related synucleinopathies. Cleared primarily by autophagy/chaperone-mediated autophagy; mTORC1 inhibition promotes its clearance while chronic pan-mTOR inhibition risks the mTORC2-dependent synaptic-plasticity cost noted in gap H8.,"A protein found in nerve endings that can misfold and clump together, forming the toxic 'Lewy bodies' seen in Parkinson's disease. The cell's cleanup system (autophagy) normally clears it out, and turning mTORC1 down can boost that cleanup - though blocking mTOR long-term can also carry a cost for brain-cell signaling.",,0,
Torin1,Drug,"ATP-competitive ('active-site') mTOR inhibitor. Unlike rapamycin, it blocks the kinase active site directly and so fully inhibits BOTH complexes - the tool that revealed rapamycin-resistant functions of mTORC1.","A lab-only drug that blocks mTOR directly at its 'engine room' (the active site), so - unlike rapamycin - it shuts down both mTOR complexes completely. It was a key tool for discovering what rapamycin-resistant mTOR functions look like.",,1,
Growth hormone / IGF-1 axis,Pathway/Complex,"Upstream growth-signaling axis; reduced activity (as in Ames dwarf mice) is one of the most robust lifespan-extending interventions known in mammals, acting upstream of PI3K/Akt/mTOR.",A hormone signaling chain (growth hormone leads to IGF-1) that sits upstream of mTOR. Turning this axis down - as seen in naturally long-lived dwarf mice - is one of the most reliable ways scientists know to extend lifespan in mammals.,,2,
Cardiac aging,Outcome,"Age-related decline in heart function (hypertrophy, stiffening, reduced contractility). Late-life rapamycin partially reverses it in mice.","The gradual decline in heart function with age - thicker heart muscle, stiffer walls, weaker pumping. In mice, giving rapamycin late in life partly reverses these changes.",,1,
Curcumin,Drug,Turmeric-derived polyphenol widely marketed for anti-aging effects; showed no lifespan effect in ITP testing.,"The active compound in turmeric, widely sold as an anti-aging supplement. In a rigorous mouse lifespan study, it didn't actually extend lifespan.",,1,
Melittin,Drug,"The main bioactive component of bee venom; suppresses PI3K/Akt/mTOR pathway and activates autophagy, showing anti-inflammatory effects in psoriasis models.","The main active ingredient in bee venom. In animal studies it dials down the PI3K/Akt/mTOR pathway and switches on autophagy (cellular self-cleaning), which calmed inflammation in a mouse model of the skin disease psoriasis.",,1,
PP242,Drug,"An ATP-competitive mTOR kinase inhibitor (a 'TORKinib'); like Torin1, inhibits both mTORC1 and mTORC2 and blocks outputs that rapamycin leaves intact.","A lab tool drug, similar to Torin1, that blocks mTOR's active site directly. Like Torin1, it shuts down both mTOR complexes, unlike rapamycin which mainly hits one.",,1,
Longevity,Outcome,Lifespan extension; the key outcome tracked across mTOR-targeting interventions.,How long an organism lives - the single outcome most often measured across every mTOR-targeting intervention in this Atlas.,,36,https://mtor-atlas.org/outcome/longevity/
MCT oil,Drug,Medium-chain triglyceride oil; tested by the ITP as a metabolic/longevity intervention with no significant lifespan effect.,"An oil made of medium-length fat molecules, tested as a metabolic/longevity supplement. It showed no meaningful effect on lifespan in formal testing.",,1,
Leucine/BCAA restriction,Intervention,"Restriction of branched-chain amino acids (leucine, isoleucine, valine); modulates mTORC1 via the Sestrin2 sensor.","Cutting back on branched-chain amino acids - leucine, isoleucine and valine - from the diet. Leucine is one of the main nutrients that switches mTORC1 on, largely through the Sestrin2 sensor, so restricting it is one way researchers try to dial the pathway down.",,1,
IRS1 / IRS2,Gene/Protein,"Insulin receptor substrate proteins 1 and 2; scaffold adaptors that couple the insulin/IGF-1 receptor to PI3K–Akt signaling. S6K1 (activated by mTORC1) phosphorylates and destabilizes IRS1/2, creating a negative feedback loop. Rapamycin blocks mTORC1/S6K1, relieving IRS1 inhibition and allowing paradoxical Akt re-activation — a critical consideration in the clinical use of rapalogs.","Adaptor proteins that relay signals from the insulin/IGF-1 receptor into the cell. mTORC1's downstream partner S6K1 tags them for breakdown as a feedback brake - part of why blocking mTOR can, paradoxically, make some insulin signaling more active.",,0,
Muscle growth,Biological process,"mTORC1-dependent process of skeletal muscle fiber enlargement (hypertrophy); driven by growth factors and exercise, blocked by rapamycin.","The process by which muscle fibers get bigger (hypertrophy), driven by exercise and growth signals and requiring mTORC1 activity. Blocking mTORC1 blocks this growth response.",,3,https://mtor-atlas.org/process/muscle-growth/
Cognition,Outcome,"Learning, memory and related brain function. mTOR inhibition can enhance cognition in young mice and blunt age-related cognitive decline.","Learning, memory, and related brain function. Turning mTOR down can sharpen thinking in young mice and may soften age-related mental decline, though the same drugs also carry real risks for brain-cell signaling.",,1,
Atg5,Gene/Protein,Core gene required for autophagosome formation; overexpressing it in mice is sufficient to extend lifespan on its own.,A core gene needed to build the membrane sacs (autophagosomes) that carry out cellular cleanup. Simply making mice produce more of it - without any drug - was enough to extend their lifespan.,,1,
PXR (NR1I2),Gene/Protein,"Pregnane X receptor, a xenobiotic-sensing nuclear receptor whose activation drives liver growth via the AKT-mTOR pathway.","A sensor in liver cells that detects foreign chemicals and drugs and switches on the genes needed to break them down. Turning it on also makes the liver grow, and that growth instruction is carried by the AKT-mTOR pathway.",,0,
KICSTOR,Pathway/Complex,"A lysosomal scaffold complex (composed of KAPTIN, ITFG2, C12orf66, and SZT2) that recruits GATOR1 to the lysosomal surface. Required for amino-acid-deprivation-dependent suppression of mTORC1; without KICSTOR, GATOR1 cannot reach the Rag GTPases and mTORC1 remains inappropriately active during starvation.","A docking complex on the lysosome that helps station the GATOR1 'brake' where it can reach and switch off mTORC1. Without it, GATOR1 can't do its job, so mTORC1 stays on even when nutrients are scarce.",,0,
Lymphangioleiomyomatosis,Disease,LAM - a rare progressive cystic lung disease in women driven by inappropriate mTOR activation; sirolimus stabilizes lung function (MILES trial).,"LAM - a rare lung disease, almost always in women, in which mTOR gets stuck in the 'on' position and slowly destroys healthy lung tissue with cysts. The mTOR-blocking drug sirolimus is a proven treatment that keeps lung function from declining further.",,2,
v-ATPase,Gene/Protein,Vacuolar H+-ATPase; senses lysosomal amino acids from the inside and relays the signal to Ragulator-Rag to activate mTORC1.,"A proton pump on the lysosome that helps sense how many amino acids are inside, then passes that information along to the Ragulator-Rag system to help switch mTORC1 on.",,1,
P-glycoprotein (ABCB1),Gene/Protein,Multidrug resistance efflux transporter encoded by ABCB1; selectively upregulated at the translational level by mTOR-eIF4A signaling under oxidative stress.,"A pump on the cell surface that expels foreign chemicals, including many drugs - a major cause of drug resistance. Under oxidative stress, mTOR signaling can boost how much of this pump gets made.",,1,
ULK1,Gene/Protein,Initiator of autophagy; target of mTORC1 inhibition and AMPK activation.,"The kick-starter protein for autophagy (cellular cleanup). mTORC1 normally holds it back; when mTORC1 is switched off (or AMPK switches on), it's released and cleanup begins.",,5,https://mtor-atlas.org/gene/ulk1/
ITGA2 (Integrin alpha-2),Gene/Protein,Integrin subunit alpha-2; found to mediate kynurenic acid-driven mTOR activation in the ITGA2-mTOR-CTSV immunotherapy resistance axis in gastric cancer.,A cell-surface protein (part of an integrin receptor) that picks up the kynurenic acid signal from tumor bacteria and passes it on to activate mTOR - part of a chain that helps gastric cancer resist immunotherapy.,,1,
TFEB,Gene/Protein,"Master transcription factor for lysosome biogenesis and autophagy. mTORC1 phosphorylates TFEB to trap it in the cytosol; when mTORC1 is off, TFEB enters the nucleus and turns on the cell's recycling program.","The master control switch for making new lysosomes and ramping up cellular cleanup. mTORC1 normally keeps it locked out of the nucleus; once mTORC1 turns off, it moves in and switches on the cell's recycling genes.",,4,https://mtor-atlas.org/gene/tfeb/
Cisplatin,Drug,Platinum-based chemotherapeutic whose tolerance is modulated by mTOR-dependent cytoprotective autophagy.,"A platinum-based chemotherapy drug that kills cancer cells by damaging their DNA. Cells can survive it by switching on autophagy - digesting their own parts for spare material - and because mTOR controls autophagy, blocking or boosting mTOR changes how well the drug works.",,0,
SIN1 / MAPKAP1,Gene/Protein,"Essential structural subunit of mTORC2 (stress-activated protein kinase-interacting protein 1). Required for mTORC2 assembly and integrity; controls the substrate specificity of mTORC2 toward Akt and other AGC kinases. Prolonged rapamycin treatment can disrupt SIN1-containing mTORC2, explaining chronic-rapamycin-induced impairment of Akt signaling.","A structural building block that mTORC2 (the second mTOR complex) needs in order to assemble and work properly. Long-term rapamycin use can eventually break apart mTORC2 that contains it, part of why chronic rapamycin can dull Akt signaling.",SIN1; mSIN1; MAPKAP1,0,
Rapamycin,Drug,"Sirolimus; mTORC1 inhibitor (and, with chronic dosing, mTORC2 too); immunosuppressant; extends lifespan in mice.","Also called sirolimus. The original mTOR-blocking drug (mainly hits mTORC1, and mTORC2 too with long-term use). Used to prevent organ-transplant rejection, and the single most reliable drug known for extending lifespan in mice.","Sirolimus; RAPA; AY-22989

Pozn.: Sirolimus je mezinárodní nechráněný název (INN) téže látky — v klinických studiích převažuje, v základním výzkumu 'rapamycin'.",38,https://mtor-atlas.org/drug/rapamycin/
Oxaloacetic acid,Drug,Metabolic intermediate marketed as a longevity supplement; no lifespan effect found in ITP testing.,A natural metabolic molecule sold as a longevity supplement. Formal mouse testing found no lifespan benefit.,,1,
Forsythoside A,Drug,Phenylethanoid glycoside from Forsythiae Fructus that binds ASCL1 and blocks a downstream CCNB1/mTOR axis.,"A compound from forsythia fruit, long used in traditional medicine. In lab work it sticks to the ASCL1 protein and shuts down a signalling chain that runs from there through CCNB1 to mTOR.",,0,
FoxO,Gene/Protein,"Forkhead box O transcription factors (FOXO1/3/4) that act as key downstream targets of mTORC1/Akt signalling; phosphorylation by Akt excludes them from the nucleus, while mTORC1 inhibition promotes nuclear translocation and transcription of stress-response and longevity genes.","A family of 'stress-response' gene switches that Akt normally keeps locked out of the nucleus. When mTORC1/Akt signaling drops, they move into the nucleus and turn on genes linked to stress resistance and longevity.",,3,https://mtor-atlas.org/gene/foxo/
Mitochondrial biogenesis,Biological process,"Production of new mitochondria and their oxidative machinery. mTORC1 drives it via a YY1-PGC-1alpha transcriptional program, linking growth signaling to energy production.","Building new mitochondria - a cell's power plants. mTORC1 drives this process through a genetic program, linking growth signals directly to how much energy-making machinery a cell has.",,1,
Renal cell carcinoma (RCC),Disease,Cancer of the kidney; target indication for everolimus treatment in clinical practice.,The most common form of kidney cancer. It's an approved use for the mTOR-blocking drug everolimus in clinical practice.,,3,https://mtor-atlas.org/disease/renal-cell-carcinoma-rcc/
eIF4A,Gene/Protein,ATP-dependent RNA helicase that unwinds 5' mRNA secondary structures; activated downstream of mTORC1 to promote selective cap-dependent translation initiation.,A protein 'motor' that unwinds tangled sections of mRNA so the cell's protein-building machinery can read through them. mTORC1 activity switches this motor on to help build proteins faster.,,1,
Rictor,Gene/Protein,Defining subunit of mTORC2 (Rapamycin-Insensitive Companion of mTOR); routes mTOR toward Akt and the cytoskeleton rather than S6K1/4E-BP1.,"The defining building block of mTORC2 (the second mTOR complex) - without it, you don't have mTORC2. It steers mTOR signaling toward Akt and the cell's internal skeleton rather than toward growth/protein-building.",rictor; RICTOR; AVO3,3,https://mtor-atlas.org/gene/rictor/
Prostate cancer,Disease,"Cancer in which oncogenic mTOR signaling reprograms the cell's translation to drive proliferation, invasion and metastasis.","A cancer in which mTOR signaling gets hijacked to rev up a tumor's protein-building machinery, helping it grow, invade nearby tissue, and spread.",,1,
mLST8,Gene/Protein,mLST8 (GbetaL) - a shared subunit of BOTH mTOR complexes. Especially required for mTORC2 to assemble and signal to Akt; largely dispensable for mTORC1.,"A small building block shared by both mTOR complexes, but it matters much more for mTORC2 - without it, mTORC2 can't properly assemble and signal to Akt, while mTORC1 mostly works fine without it.",,2,
Ferroptosis,Biological process,"Iron-dependent, lipid-peroxidation-driven regulated cell death that is modulated by mTOR signalling and autophagy.","A distinct way for a cell to die: iron inside the cell sets off a chain reaction that shreds the fatty membranes holding it together. It is not the tidy, programmed suicide most cells use, and both mTOR signalling and autophagy change how easily it happens.",,0,
SLC7A5 (LAT1),Gene/Protein,"Large neutral amino acid transporter 1, which imports leucine and is a key upstream input into mTORC1 nutrient sensing.","A doorway in the cell membrane that carries large amino acids, leucine among them, into the cell. Since mTORC1 measures leucine to judge whether there is enough raw material to grow, this transporter is one of the taps feeding that decision.",,0,
Placental nutrient sensing,Biological process,Placental mTORC1-dependent regulation of amino acid transport and mitochondrial respiration that sets fetal growth trajectory.,"How the placenta decides how much nourishment to pass from mother to fetus. mTORC1 inside placental cells reads the mother's nutrient supply and adjusts the amino-acid transporters accordingly, which helps set how big the baby grows.",,0,
LC3B (MAP1LC3B),Gene/Protein,Key autophagosome membrane marker; lipidation of LC3B (LC3-II) is induced when mTOR is inhibited and marks autophagy induction.,A protein that gets attached to the membrane of autophagosomes (cellular cleanup sacs) - scientists use it as a marker to see autophagy happening. It shows up more when mTOR is blocked.,,1,
Raptor,Gene/Protein,"Defining subunit of mTORC1; scaffold that presents substrates (S6K1, 4E-BP1) to mTOR. Its presence is what makes a complex 'mTORC1'.",The defining building block of mTORC1 - it's what makes an mTOR complex 'mTORC1' rather than mTORC2. It acts as a scaffold that presents mTORC1's targets (like S6K1 and 4E-BP1) to the mTOR enzyme.,raptor; RPTOR; KOG1,7,https://mtor-atlas.org/gene/raptor/
Astragaloside IV,Drug,"Bioactive saponin from Astragalus membranaceus that inhibits mTOR to activate TFEB-mediated autophagy, protecting against tacrolimus-induced nephrotoxicity.","A compound from the astragalus root. It blocks mTOR to switch on TFEB-driven cellular cleanup, which in animal studies helped protect kidneys from a drug-induced toxicity.",,1,
mTOR,Gene/Protein,Serine/threonine kinase; central regulator of cell growth and metabolism; direct target of rapamycin.,"The central enzyme this whole Atlas is about - short for 'mechanistic target of rapamycin.' It's a master switch that senses nutrients and growth signals and decides whether a cell should grow, build new proteins, and skip its cleanup routines, or hold back and recycle.","MTOR; mechanistic target of rapamycin; mammalian target of rapamycin; FRAP1; TOR; dTOR

Pozn.: TOR (kvasinky, Drosophila) je ortholog, ne synonymum v úzkém smyslu. Veden tu záměrně, aby zakládající práce (HEI1991, VEZ1975) byly dohledatelné pod mTOR.",63,https://mtor-atlas.org/gene/mtor/
5'TOP mRNA,Biological process,Class of mRNAs with a 5' terminal oligopyrimidine tract encoding ribosomal proteins and translation factors; their translation is a canonical output of mTORC1 signaling.,"A group of messenger RNAs (the templates cells read to build proteins) that mostly encode the protein-building machinery itself. Turning their translation on is one of mTORC1's classic, best-established jobs.",,2,
Lipid synthesis,Biological process,De novo synthesis of fatty acids and cholesterol via SREBP. A growing cell needs membrane as much as it needs protein; both mTOR complexes feed this.,"Building new fats and cholesterol from scratch, mainly through a genetic switch called SREBP. A growing cell needs new membranes just as much as new proteins, and both mTOR complexes help fuel this.",,4,https://mtor-atlas.org/process/lipid-synthesis/
Corilagin,Drug,Natural ellagitannin with anti-inflammatory activity that inhibits PI3K/AKT/mTOR and NF-κB signalling and restores autophagy.,"A plant compound (a tannin) found in several medicinal herbs. In lab studies it calms inflammation by blocking both PI3K/AKT/mTOR and NF-κB signalling, and it restores autophagy, the cell's recycling process.",,0,
Arginine,Nutrient/Metabolite,"Essential amino acid sensed by two separate routes: cytosolic arginine binds CASTOR1, and lysosomal arginine is read by the transporter-like protein SLC38A9.","An essential amino acid the cell senses through two separate paths - a sensor inside the cell (CASTOR1) reads free-floating arginine, while a transporter-like protein on the lysosome (SLC38A9) reads arginine stored inside the lysosome.",,5,https://mtor-atlas.org/nutrient/arginine/
Macrophage polarization,Biological process,"The M1/M2 phenotypic switch in macrophages, an immunometabolic decision governed substantially by PI3K/AKT/mTOR signalling.","Macrophages are immune cells that can take on opposite jobs: attacking invaders (M1) or cleaning up and repairing tissue (M2). Which one they become depends heavily on how they burn fuel, and PI3K/AKT/mTOR signalling is a main controller of that choice.",,0,
FGF21,Gene/Protein,"Fibroblast growth factor 21, a metabolic hormone that activates AMPK/mTOR signaling to regulate glucose metabolism and wound healing.","A hormone released mostly by the liver that helps regulate blood sugar and metabolism. It works partly by activating the AMPK/mTOR signaling chain, and has also been shown to help wounds heal.",,1,
Atrial fibrillation,Disease,"The most common age-related cardiac arrhythmia, driven by atrial electrical and structural remodelling.","The most common irregular heartbeat, and one that becomes far more likely with age. The heart's upper chambers change electrically and become scarred, so instead of a clean beat they quiver out of rhythm.",,0,
Lung cancer (NSCLC/LUAD),Disease,"Non-small cell lung cancer including lung adenocarcinoma, in which PI3K-AKT-mTOR and mTORC2 signalling are frequently dysregulated.","The most common form of lung cancer, including the adenocarcinoma subtype. The PI3K-AKT-mTOR growth pathway is often stuck in the 'on' position in these tumours, which is why mTOR is studied as a target here.",,0,
GATOR2,Pathway/Complex,"Positive arm that inhibits GATOR1; the target through which amino acid sensors (Sestrin2, CASTOR1) relay their signal to mTORC1.","A relay switch that reactivates mTORC1. Amino-acid sensors like Sestrin2 and CASTOR1 work by inhibiting it (when nutrients are scarce) or releasing it (when nutrients return), and it in turn keeps GATOR1 - mTORC1's main brake - in check.",,2,
Integrated stress response,Pathway/Complex,"Conserved response to unfolded protein, amino-acid and other stresses. Reaches mTORC1 by routes independent of both TSC and AMPK.","The cell's general-purpose alarm system for problems like misfolded proteins or amino-acid shortage. It can reach and suppress mTORC1 through routes that don't go through the two other main brakes, TSC or AMPK.",,1,
Simvastatin,Drug,Cholesterol-lowering statin; tested as a candidate longevity drug in the same ITP cohort as rapamycin but showed no lifespan effect.,"A cholesterol-lowering statin drug that was tested alongside rapamycin in the same large mouse longevity study. Unlike rapamycin, it showed no effect on lifespan.",,1,
Parkinson's disease,Disease,Neurodegenerative disease marked by loss of dopaminergic neurons and accumulation of misfolded alpha-synuclein (Lewy bodies). mTORC1 hyperactivity suppresses the autophagy that would clear alpha-synuclein aggregates; rapamycin enhances their autophagic clearance in animal models. Relevant to gap H8 (brain-penetrant mTOR inhibition for aggregate clearance).,A brain disease caused by loss of dopamine-producing neurons and buildup of a misfolded protein (alpha-synuclein) into Lewy bodies. Overactive mTORC1 blocks the cellular cleanup that would normally clear this protein out; rapamycin can restore that clearance in animal models.,,0,
Everolimus,Drug,Rapamycin analog (RAD001); used in oncology and tested for immune function in older adults.,A modified version of rapamycin. Used in cancer treatment and also studied for boosting immune responses in older adults.,,14,https://mtor-atlas.org/drug/everolimus/
Acarbose,Drug,"Alpha-glucosidase inhibitor (diabetes drug) that slows carbohydrate absorption; found by the ITP to extend mouse lifespan, especially in males.","A diabetes drug that slows carbohydrate absorption in the gut. In a large mouse study it extended lifespan, especially in males, working mostly through a route separate from mTOR.",,1,
Grb10,Gene/Protein,"mTORC1 substrate that, once phosphorylated, damps insulin/IGF-1 receptor signalling - one arm of the negative feedback that makes mTOR inhibitors paradoxically raise upstream Akt activity.","A protein that mTORC1 activates as part of a feedback loop - once switched on, it dials down signaling from the insulin/IGF-1 receptor. It's one reason mTOR inhibitors can paradoxically boost upstream Akt activity.",,2,
PTEN,Gene/Protein,"Phosphatase that erases PIP3 and so shuts down the PI3K arm. One of the most frequently lost tumour suppressors in human cancer, and the commonest way this pathway gets stuck on.","A tumor-suppressing enzyme that erases the 'go' signal generated by PI3K, shutting that branch of the pathway down. It's one of the genes most frequently lost in human cancer, and losing it is a common way this pathway gets stuck switched on.",,2,
PDCD4,Gene/Protein,"Translation inhibitor that blocks the eIF4A helicase. S6K1 marks it for degradation, giving mTORC1 a second, 4E-BP-independent route to raising protein synthesis.","A protein that blocks the translation helper eIF4A. mTORC1's downstream partner S6K1 tags it for destruction, giving the pathway a second way - separate from 4E-BP1 - to boost protein production.",,1,
Immune function,Outcome,"Function of the immune system, especially vaccine response; improved by low-dose everolimus in older adults.","How well the immune system works, especially how strongly it responds to vaccines. Low-dose everolimus has improved this in older adults in some clinical trials.",,5,https://mtor-atlas.org/outcome/immune-function/
Glutamine,Nutrient/Metabolite,"Most abundant free amino acid; activates mTORC1 partly through glutaminolysis and, in some settings, through a Rag-independent Arf1 route - one of the clearest examples that 'amino acid sensing' is not a single mechanism.","The most abundant free amino acid in the body. It switches on mTORC1 partly by being broken down for fuel and, in some cell types, through a completely separate route that skips the usual Rag-GTPase sensors - a reminder that 'amino acid sensing' isn't just one single mechanism.",,2,
MRPS17,Gene/Protein,"Mitochondrial ribosomal protein S17, upregulated in lung adenocarcinoma where it activates PI3K-AKT-mTOR signalling.","A building block of the ribosomes inside mitochondria - the little machines that make proteins for the cell's power plants. It is present at unusually high levels in lung adenocarcinoma, where it switches on PI3K-AKT-mTOR growth signalling.",,0,
ErbB3 (HER3),Gene/Protein,Receptor tyrosine kinase that is one of the most potent upstream activators of PI3K/AKT/mTOR signalling.,"A receiver sitting on the cell surface that catches growth signals from outside. It is one of the strongest known switches for the PI3K/AKT/mTOR pathway, which is why tumours so often exploit it.",,0,
Breast cancer,Disease,Hormone-receptor-positive advanced breast cancer becomes resistant to endocrine therapy partly by activating mTOR; adding the rapalog everolimus re-sensitizes it (BOLERO-2).,Hormone-driven advanced breast cancer can become resistant to standard hormone therapy partly by switching on mTOR signaling as a workaround. Adding the mTOR-blocking drug everolimus can make the cancer sensitive to hormone therapy again.,,3,https://mtor-atlas.org/disease/breast-cancer/
Pancreatic neuroendocrine tumor,Disease,"Pancreatic neuroendocrine tumor - a cancer where mTOR drives growth; everolimus more than doubled progression-free survival (RADIANT-3), an FDA-approved indication.","A type of pancreatic cancer driven partly by mTOR signaling. Everolimus more than doubled the time before the tumor progressed in a major clinical trial, and it's now an approved treatment.",,1,
USP7,Gene/Protein,"Ubiquitin-specific protease 7, a deubiquitinase that modulates the TSC1/mTOR axis and promotes renal fibrosis via stabilization of KDM5B.","An enzyme that removes a 'degrade-me' tag (ubiquitin) from other proteins, protecting them from being broken down. By stabilizing one such protein (KDM5B), it silences TSC1 and activates mTOR - a chain that promotes kidney scarring (fibrosis) in mouse models of kidney disease.",,1,
